name,lat,lon,type,amenity,tags
New Amsterdam Cafe,49.2829831,-123.1098733,food,food,{}
Nobi Nobi Obanzai,49.1329664,-123.098082,food,food,{}
Pho 99,49.2779213,-122.9123137,food,food,{}
Waves Coffee House,49.2635825,-123.128836,food,food,{}
Cockney Kings Fish & Chips,49.2800457,-122.966568,food,food,{}
Ignite Pizzeria,49.2772564,-123.118737,food,food,{}
Elysian Coffee Roasters,49.2631012,-123.1172946,food,food,{}
Gene Coffee Bar,49.263823,-123.1006366,food,food,{}
Sushi Kaido,49.2630345,-123.101204,food,food,{}
Thai Son,49.2629465,-123.0967703,food,food,{}
Melo Patisserie,49.2635924,-123.1015666,food,food,{}
Smitty's Oyster House,49.2571236,-123.1009453,food,food,{}
Caffè Mira,49.2568941,-123.1009534,food,food,{}
Toshi,49.256744,-123.1018952,food,food,{}
The General Public,49.2558187,-123.101561,food,food,{}
Anh And Chi,49.2550596,-123.1008857,food,food,{}
Nikkyu Japanese Restaurant,49.2555535,-123.1010082,food,food,{}
Hunnybee Bruncheonette,49.2777501,-123.0971613,food,food,{}
GO Canada,49.2741793,-123.1328565,food,food,{}
Prego Cofee,49.275078,-123.1335056,food,food,{}
Giardino Restaurant,49.2769504,-123.1300681,food,food,{}
Olympia Pizza,49.2643413,-123.1760619,food,food,{}
East is East,49.2642766,-123.1727212,food,food,{}
Folke,49.2641587,-123.164402,food,food,{}
Thomas Haas Chocolates,49.264149,-123.1633,food,food,{}
Platform 7,49.2637397,-123.1578123,food,food,{}
Leopold's Tavern,49.2638288,-123.1416759,food,food,{}
The Corner Kitchen UBC,49.2659729,-123.24247,food,food,{}
The Halal Guys,49.2804472,-123.1187278,food,food,{}
Shogun,49.2854893,-123.1172155,food,food,{}
Flamingo Cafe,49.2794539,-123.1230577,food,food,{}
Banana Leaf,49.26428,-123.1722925,food,food,{}
Cactus Club Cafe,49.2750892,-123.122758,food,food,{}
Analog Coffee,49.2757856,-123.121109,food,food,{}
The Greek by Anatoli,49.2762235,-123.1198664,food,food,{}
Lupo,49.2781583,-123.1172443,food,food,{}
Pho With Us,49.2657244,-123.243097,food,food,{}
Only U Cafe,49.2660115,-123.2423353,food,food,{}
The Boathouse Restaurant,49.274204,-123.153753,food,food,{}
fiore famiglia,49.2578148,-123.1650598,food,food,{}
Steveston Coffee Co.,49.1253059,-123.1848639,food,food,{}
Masita Korean Restaurant,49.2189528,-122.96902,food,food,{}
Roadside Spicy Pot,49.2190275,-122.9694464,food,food,{}
Water Street Cafe,49.2842334,-123.109032,food,food,{}
Minato Japanese Restaurant,49.2635812,-123.127202,food,food,{}
Chef's Choice Chinese Cuisine,49.263551,-123.1254837,food,food,{}
Artigiano,49.2632049,-123.1070497,food,food,{}
Royal Seoul House,49.263683,-123.13186,food,food,{}
Menya Raizo,49.2633439,-123.1130715,food,food,{}
Ramen One,49.2633536,-123.1137363,food,food,{}
Sandy La Chinese Restaurant,49.2370452,-123.0656861,food,food,{}
Nishiki Sushi Bar,49.225037,-123.0659194,food,food,{}
Indishspensable,49.2613904,-123.1532615,food,food,{}
Coquette,49.2621248,-123.1532374,food,food,{}
Trees Organic,49.2623651,-123.1532375,food,food,{}
Napoletana,49.2629899,-123.1527502,food,food,{}
Lumiere Cafe,49.2634834,-123.115745,food,food,{}
Sushi Dragon,49.2631116,-123.1182464,food,food,{}
OneZo Tapioca,49.2630887,-123.1180332,food,food,{}
Peaceful Restaurant,49.2630555,-123.1161172,food,food,{}
The Galley Restaurant and Grill,49.275651,-123.201754,food,food,{}
Bubble World Tea House,49.2873653,-123.128789,food,food,{}
Okini,49.2193342,-123.1494139,food,food,{}
No. 1 Beef Noodle,49.2424585,-123.003994,food,food,{}
Saffron Indian Cuisine,49.2311658,-123.008436,food,food,{}
Wendel's Bookstore & Cafe,49.1702461,-122.5782338,food,food,{}
Beatniks Bistro,49.1696367,-122.5782942,food,food,{}
Planet Java Fifties Diner,49.1692957,-122.578765,food,food,{}
Pinch of Spice,49.1607342,-122.8911245,food,food,{}
Iron Chief,49.1687435,-122.5798414,food,food,{}
Sushi Hinode,49.1697602,-122.5764985,food,food,{}
Grand Honour,49.23414,-123.1399405,food,food,{}
Lavash Seaside Grill,49.1239577,-123.1846411,food,food,{}
Nordel Sushi,49.1609428,-122.8884989,food,food,{}
Kokoro Tokyo Mazesoba,49.1330271,-123.0965348,food,food,{}
Ike's Café,49.2673017,-123.2526955,food,food,{}
Gyubee Japanese Grill,49.1711386,-123.136051,food,food,{}
The Old Spaghetti Factory,49.1343339,-123.0651422,food,food,{}
Wings,49.1319822,-123.0917886,food,food,{}
Empire Seafood Restaurant,49.1708481,-123.1369363,food,food,{}
Italian Tomato Restaurant,49.1916327,-123.13096,food,food,{}
Golden Coin,49.1705244,-123.1569694,food,food,{}
Local Public Eatery,49.2835819,-123.104067,food,food,{}
The Deck Kitchen + Bar,49.190695,-123.139231,food,food,{}
Lee's Donuts,49.284394,-123.108567,food,food,{}
Meat & Bread,49.2631506,-123.1216282,food,food,{}
Pallet Coffee Roasters,49.2515901,-123.1272753,food,food,{}
The Basic,49.279771,-123.129926,food,food,{}
Caffe Mira,49.2787557,-123.130101,food,food,{}
Sushi Taku,49.2397994,-123.029963,food,food,{}
Cafe Lokal,49.2681926,-123.1647247,food,food,{}
KOS Waffles by Waffleland Cafe,49.2802809,-123.118395,food,food,{}
Perfecto Cafe,49.2767389,-123.125234,food,food,{}
Murasaki,49.2825785,-122.8255002,food,food,{}
Golden Swan Restaurant,49.2361234,-123.064932,food,food,{}
El Caracol Mexican Cafe,49.2375315,-123.065046,food,food,{}
Hủ Tiếu Hồng Phát,49.238342,-123.065174,food,food,{}
Yoshida Sushi,49.2338441,-123.065775,food,food,{}
Kaori Izakaya,49.2579822,-123.1014396,food,food,{}
Sun Sui Wah Seafood Restaurant,49.2503966,-123.1007707,food,food,{}
Green Leaf Sushi Cafe,49.2532802,-122.8983104,food,food,{}
Secret Garden,49.2525622,-122.898141,food,food,{}
The Vancouver Fish Company,49.2706361,-123.1366509,food,food,{}
Tony's Fish and Oyster Café,49.2707436,-123.1363777,food,food,{}
The Sandbar,49.2719814,-123.134014,food,food,{}
Szechuan Chili Restaurant,49.2656103,-123.1219802,food,food,{}
Yanaki Sushi,49.2657441,-123.1223054,food,food,{}
Samurai Japanese Restaurant,49.2805385,-123.1316982,food,food,{}
Shin Ju,49.2636948,-123.1364258,food,food,{}
Pedro's Organic Coffee House,49.270247,-123.136425,food,food,{}
Western Lake,49.2393603,-123.065574,food,food,{}
Shiro Japanese Restaurant,49.257958,-123.114616,food,food,{}
PHO TRAN,49.0589295,-122.4953007,food,food,{}
The Stand,49.2501092,-123.0015799,food,food,{}
Fuse Cafe,49.2513348,-122.999477,food,food,{}
Tim Hortons Express,49.2540202,-123.001417,food,food,{}
Austin Grill,49.2538725,-123.0014254,food,food,{}
Wicked Cafe,49.2654214,-123.1358776,food,food,{}
The Firewood Café,49.2585083,-123.1148332,food,food,{}
Tropika,49.2589022,-123.1152483,food,food,{}
Hi Nippon,49.2680378,-123.1569284,food,food,{}
Yokozna Sushi,49.2715034,-122.7553352,food,food,{}
Sky Dragon,49.2708428,-122.7572194,food,food,{}
San Remo Pizza,49.2676015,-122.7733233,food,food,{}
Sushi Hanabi,49.2695561,-123.1399852,food,food,{}
HY Tea Lounge,49.2693476,-123.1398578,food,food,{}
Wall Flowers,49.2803909,-123.12543,food,food,{}
Pâtisserie Lebeau,49.2696443,-123.1439762,food,food,{}
Jade Palace Chinese Restaurant,49.2807898,-123.002171,food,food,{}
A Taste of Vietnam,49.263253,-123.1271262,food,food,{}
Yee Cafe,49.2341725,-123.140139,food,food,{}
Mi Casa Mexicana,49.2678006,-123.1458856,food,food,{}
Maxim's Bakery & Restaurant,49.2795498,-123.0978304,food,food,{}
The Boss Bakery & Restaurant,49.2798304,-123.0994522,food,food,{}
Sushia,49.2539408,-122.918584,food,food,{}
BoatHouse,49.280924,-122.8505391,food,food,{}
Bombay,49.2720535,-122.7890489,food,food,{}
Hart House Restaurant,49.2383705,-122.96641,food,food,{}
Han Lin Noodle House,49.2104036,-122.9171086,food,food,{}
4 Seasons Chaat House,49.2107401,-122.917535,food,food,{}
Massawa Restaurant,49.2106493,-122.9174243,food,food,{}
Kojima Sushi,49.2105249,-122.91724,food,food,{}
Artusi,49.2105935,-122.917341,food,food,{}
Go Dine Kanadiyan,49.2120122,-122.921168,food,food,{}
Peri Peri Shack,49.2098655,-122.916439,food,food,{}
