name,lat,lon,type,amenity,tags
Cape Roger Curtis Lighthouse,49.339997,-123.4329117,nature,nature,{}
West Vancouver Recreation Centre,49.3309878,-123.1702013,nature,nature,{}
Lost Lagoon Nature House,49.2943999,-123.1378729,nature,nature,{}
Seymour Fish Hatchery,49.4373649,-122.9670831,nature,nature,{}
Grouse Mountain Skyride Base,49.3722178,-123.0989948,nature,nature,{}
2010 Olympic Cauldron,49.2893606,-123.1176596,nature,nature,{}
Gastown Steam Clock,49.2843841,-123.10889,nature,nature,{}
Original Fort Langley Site,49.1986153,-122.5939046,nature,nature,{}
Kirkland House,49.077813,-123.0786094,nature,nature,{}
Iona Beach Park,49.21918,-123.2139445,nature,nature,{}
Miniature Railway,49.3019096,-123.1337742,nature,nature,{}
Finn Slough (Tidal Community),49.1136634,-123.1142399,nature,nature,{}
Nine O'Clock Gun,49.2980397,-123.117547,nature,nature,{}
Fellowship Bell,49.2928297,-123.1306803,nature,nature,{}
Hollow Tree,49.3069151,-123.1536164,nature,nature,{}
Grouse Grind Trailhead,49.3711988,-123.0983777,nature,nature,{}
Vancouver Whale Watch,49.1244837,-123.1840048,nature,nature,{}
Phoenix Art Workshop,49.1266488,-123.1823304,nature,nature,{}
Francl Architecture,49.2695802,-123.1427277,nature,nature,{}
Reconciliation Pole,49.260037,-123.2488873,nature,nature,{}
Gay Village,49.2817994,-123.1333798,nature,nature,{}
Steveston Seabreeze Adventures,49.1235754,-123.1812285,nature,nature,{}
Birks Clock,49.2851447,-123.1140076,nature,nature,{}
Kanaka Creek Fish Fence,49.1992729,-122.5570593,nature,nature,{}
The Pink Alley,49.2846556,-123.1138977,nature,nature,{}
Honey Doughnuts & Goodies,49.3266818,-122.950121,nature,nature,{}
Opa tree,49.4026365,-123.3598364,nature,nature,{}
The Relief,49.2721894,-123.133701,nature,nature,{}
Historical Photo Wall,49.2036515,-122.9047866,nature,nature,{}
Fur press,49.1679877,-122.571355,nature,nature,{}
The Bog at Riverside Cranberry Farm,49.162815,-122.4827794,nature,nature,{}
Camosun Bog | xʷməm̓qʷe:m,49.2544087,-123.197639,nature,nature,{}
Cedar Stump (Firehall),49.3768339,-122.8902886,nature,nature,{}
Fairy Forest,49.0357526,-122.7286635,nature,nature,{}
Old Growth Cedar Stump,49.3386244,-122.7524227,nature,nature,{}
Central Park Theatre,49.239557,-122.967771,nature,nature,{}
The Home Bakery,49.2396149,-122.967429,nature,nature,{}
Way Sang Yuen Wat Kee,49.2395247,-122.967441,nature,nature,{}
The Burnaby Post,49.2394529,-122.967435,nature,nature,{}
Treble Clef Phonographs,49.2394141,-122.967352,nature,nature,{}
Royal Bank,49.2393378,-122.967441,nature,nature,{}
Snowmobiles,49.3816825,-123.0784789,nature,nature,{}
White Rock Sea Tours and Whale Watch Vancouver,49.0564728,-122.8717189,nature,nature,{}
Learning House,49.239383,-122.9676293,nature,nature,{}
Bulldozer,49.332536,-122.7330672,nature,nature,{}
Dinosaurs,49.0898996,-122.485845,nature,nature,{}
African Savannah,49.0923356,-122.49068,nature,nature,{}
Asia,49.0908523,-122.4894469,nature,nature,{}
North American Wilds,49.0912439,-122.4838448,nature,nature,{}
South America/Australia,49.093748,-122.4861472,nature,nature,{}
Picnic Area,49.0931972,-122.4873176,nature,nature,{}
Arctic,49.0905347,-122.4856108,nature,nature,{}
Pitt Lake PIctographs,49.4442782,-122.5535593,nature,nature,{}
Vancouver Christmas Market,49.2896416,-123.1173908,nature,nature,{}
Treehouse,49.0350053,-122.7279677,nature,nature,{}
1928 LaFrance Type T-70-6,49.3741384,-123.357652,nature,nature,{}
Steam Donkey,49.4534863,-122.5513106,nature,nature,{}
Buried Bulldozer,49.144911,-122.9308956,nature,nature,{}
Magical Mailbox,49.381144,-123.3363803,nature,nature,{}
Crease Unit,49.2458494,-122.8050511,nature,nature,{}
Glow Gardens Langley,49.1234749,-122.6231651,nature,nature,{}
Pitt Lake PIctographs,49.4449504,-122.552634,nature,nature,{}
Martini Town,49.0227494,-122.4721975,nature,nature,{}
Rose Garden,49.28294703339268,-122.93395844001141,nature,nature,{}
False Creek,49.27281917012412,-123.12514381060937,nature,nature,{}
Britannia Icerink,49.27599116992234,-123.07062292536371,nature,nature,{}
Vancouver Public Library,49.2796918252593,-123.11551898644387,nature,nature,{}
Cleveland Dam,49.36021757610767,-123.11075962608155,nature,nature,{}
Corn Maze,49.25055718769158,-122.70822323589456,nature,nature,{}
Gordon MacMillan Southam Observatory,49.27545698872706,-123.14355925038097,nature,nature,{}
Massey Theatre,49.215156747334206,-122.92696614364577,nature,nature,{}
Capilano Suspension Bridge,49.34290135,-123.1151049,nature,nature,{}
Ben Franklin,49.277753235261116,-123.14773568336271,nature,nature,{}
Thunderbird Show Park,49.13127540373933,-122.54218284441666,nature,nature,{}
Canada Place,49.288621358249216,-123.11135203522015,nature,nature,{}
Honeybee Centre,49.1385517669798,-122.73395399488446,nature,nature,{}
Capilano River Hatchery,49.35664871571121,-123.11012886693237,nature,nature,{}
North Beach,49.32732395187707,-122.44567668478919,nature,nature,{}
Waterslide,49.28650235,-123.14410335000001,nature,nature,{}
Point Atkinson Lighthouse,49.33039254322796,-123.26458578582667,nature,nature,{}
Rainbow Crosswalk,49.023859789422495,-122.80106455054464,nature,nature,{}
Delta Nature Reserve,49.14220269969556,-122.92927681193243,nature,nature,{}
Bell-Irving Fish Hatchery,49.21087447915093,-122.50729487515771,nature,nature,{}
Kettle Creek Mine Coaster,49.282228556056275,-123.03665685962433,nature,nature,{}
The White Rock,49.01989303642216,-122.80249745861774,nature,nature,{}
Brockton Point Totem Poles,49.299227268159854,-123.12116539686254,nature,nature,{}
Children's Adventure Playground,49.2764839,-122.9202581,nature,nature,{}
Indian River,49.3198848,-122.962396,nature,nature,{}
Spirea Meadow,49.1441454,-122.9330717,nature,nature,{}
"""Teribithia""",49.2613438,-122.9182525,nature,nature,{}
Terminal Creek Fish Hatchery,49.3828626,-123.3502665,nature,nature,{}
Grousewoods Park,49.3653745,-123.0984689,nature,nature,{}
Nelson Creek Fish Hatchery,49.36386,-123.2588787,nature,nature,{}
Stephen Toope Gardens,49.2671967,-123.254072,nature,nature,{}
BCMC Forks campsite (historic),49.4171451,-123.0427389,nature,nature,{}
City In The Park,49.2107477,-122.960792,nature,nature,{}
Lendingham Park,49.2175784,-122.9966751,nature,nature,{}
Riverside Adventure Park,49.20471098293041,-122.93328084029991,nature,nature,{}
Glenbrook Ravine Park,49.218310121626466,-122.90143747603845,nature,nature,{}
Simcoe Park,49.20367775647591,-122.91684751349791,nature,nature,{}
Ron McLean Park,49.21373231078721,-122.96605622454449,nature,nature,{}
Queen's Park,49.21514179515428,-122.90597179869077,nature,nature,{}
Elgin Heritage Park / Stewart Farm / Wards Marina,49.065296947316455,-122.84231231059846,nature,nature,{}
