name,arrival,departure
Start Location,09:00,09:00
Indian Summer Festival,09:13,10:13
Miso Taco,10:13,11:13
Aura,11:42,12:42
Apollinia,12:43,13:43
Vancouver International Film Centre,14:00,15:00
Mr. Greek,15:00,16:00
The Cinematheque,16:01,17:01
Best Western Premier Chateau Granville Hotel & Suites & Conference Centre,17:02,21:00
Hotel (End of Day),21:00,21:00
The Penthouse,09:01,10:01
Mangos Kitchen Bar,10:02,11:02
Commodore Ballroom,11:05,12:05
Heirs Pears,12:06,13:06
Scotiabank Theatre Vancouver,13:09,14:09
Dublin Calling,14:10,15:10
The Sutton Place Hotel,15:13,21:00
Hotel (End of Day),21:00,21:00
